"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","GET /posts should return all posts","chromium","2026-01-02","passed","2026-01-02","Mock API Tests","specs\Mock.Api.spec.ts","",""
"","3559","Test Case 3: Login User with incorrect email and password","chromium","2026-01-02","passed","2026-01-02","","specs\example.spec.ts","",""
"","31301","Test Case 2: Login User with correct email and password","chromium","2026-01-02","passed","2026-01-02","","specs\example.spec.ts","",""
"","1010","API 4: Search Product with query parameter","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","7052","Test Case 1: Register User","chromium","2026-01-02","passed","2026-01-02","","specs\example.spec.ts","",""
"","804","Beeceptor Placeholder API 3","chromium","2026-01-02","passed","2026-01-02","","specs\Beeceptor.spec.ts","",""
"","907","Json Placeholder API 1","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","790","Json Placeholder API 5","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","817","Beeceptor Placeholder API 1","chromium","2026-01-02","passed","2026-01-02","","specs\Beeceptor.spec.ts","",""
"","820","Beeceptor Placeholder API 2","chromium","2026-01-02","passed","2026-01-02","","specs\Beeceptor.spec.ts","",""
"","957","API 2: POST To All Products List","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","8800","Test Case 4: Logout User","chromium","2026-01-02","passed","2026-01-02","","specs\example.spec.ts","",""
"","115","Json Placeholder API 2","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","35","POST /login should fail for invalid user","chromium","2026-01-02","passed","2026-01-02","Mock API Tests","specs\Mock.Api.spec.ts","",""
"","14","POST /login","chromium","2026-01-02","passed","2026-01-02","Mock API Tests","specs\Mock.Api.spec.ts","",""
"","1058","Json Placeholder API 4","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","1099","API 3: Get All Brands List","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","1095","API 1: Get All Products List","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","347","Beeceptor Placeholder API 4","chromium","2026-01-02","passed","2026-01-02","","specs\Beeceptor.spec.ts","",""
"","463","Json Placeholder API 6","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
"","40","POST /login should return token for valid user","chromium","2026-01-02","passed","2026-01-02","Mock API Tests","specs\Mock.Api.spec.ts","",""
"","73","Json Placeholder API 7","chromium","2026-01-02","passed","2026-01-02","","specs\api.spec.ts","",""
