"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Json Placeholder API 7","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","1934","Test Case 3: Login User with incorrect email and password","chromium","2026-01-05","passed","2026-01-05","","specs/example.spec.ts","",""
"","51","API 2: POST To All Products List","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","0","POST /login should return token for valid user","chromium","2026-01-05","skipped","2026-01-05","Mock API Tests","specs/Mock.Api.spec.ts","",""
"","4102","Test Case 2: Login User with correct email and password","chromium","2026-01-05","passed","2026-01-05","","specs/example.spec.ts","",""
"","4073","Test Case 4: Logout User","chromium","2026-01-05","passed","2026-01-05","","specs/example.spec.ts","",""
"","0","GET /posts should return all posts","chromium","2026-01-05","skipped","2026-01-05","Mock API Tests","specs/Mock.Api.spec.ts","",""
"","106","API 3: Get All Brands List","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","37","Beeceptor Placeholder API 4","chromium","2026-01-05","passed","2026-01-05","","specs/Beeceptor.spec.ts","",""
"","0","POST /login","chromium","2026-01-05","skipped","2026-01-05","Mock API Tests","specs/Mock.Api.spec.ts","",""
"","103","Json Placeholder API 2","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","3790","Test Case 1: Register User","chromium","2026-01-05","passed","2026-01-05","","specs/example.spec.ts","",""
"","0","POST /login should fail for invalid user","chromium","2026-01-05","skipped","2026-01-05","Mock API Tests","specs/Mock.Api.spec.ts","",""
"","269","API 1: Get All Products List","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","53","Json Placeholder API 4","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","407","Json Placeholder API 6","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","109","Json print","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","152","Json Placeholder API 1","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","29","Beeceptor Placeholder API 2","chromium","2026-01-05","passed","2026-01-05","","specs/Beeceptor.spec.ts","",""
"","259","Json Placeholder API 5","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","48","API 4: Search Product with query parameter","chromium","2026-01-05","passed","2026-01-05","","specs/api.spec.ts","",""
"","29","Beeceptor Placeholder API 1","chromium","2026-01-05","passed","2026-01-05","","specs/Beeceptor.spec.ts","",""
"","59","Beeceptor Placeholder API 3","chromium","2026-01-05","passed","2026-01-05","","specs/Beeceptor.spec.ts","",""
